0
Mycoplasma anserisalpingitidis
Enterobacter mori
Escherichia coli
Echinicola sp. SCS 3-6
Lactococcus lactis
Streptococcus suis
Klebsiella pneumoniae
Chlamydia pecorum
Hafnia paralvei
Oenococcus oeni
Pseudomonas chlororaphis
Mycetocola sp. MSC19
Edwardsiella tarda
Edwardsiella piscicida
Edwardsiella ictaluri
Aeromonas media
Pectobacterium brasiliense
Pectobacterium versatile
Pseudomonas sp. MM213
Mycoplasmopsis bovis
Borrelia hermsii
Pseudomonas lalkuanensis
Mesobacillus sp. S13
Limosilactobacillus reuteri
Cellulomonas iranensis
Mycobacterium intracellulare
Sulfurimonas sp. SWIR-19
Salmonella enterica
Candidatus Megaira endosymbiont of Mesostigma viride
Rickettsia endosymbiont of Cimex lectularius
Rickettsia endosymbiont of Culicoides impunctatus
Streptomyces sp. SCSIO 64649
Kaistella sp. GW4-15
Aeromonas hydrophila
Aeromonas dhakensis
Aeromonas caviae
Pseudomonas sp. PS1(2021)
Ensifer adhaerens
Pseudomonas sp. HS-18
Staphylococcus aureus
Edwardsiella sp. LADL05-105
Pseudomonas sp. MM211
Chitinophaga sp. MD30B
Phormidium sp. PBR-2020
Bifidobacterium longum
Candidatus Profftia sp. (ex Adelges kitamiensis)
Chryseobacterium rhizoplanae
Erwinia gerundensis
Lactococcus garvieae
Aequorivita sp. F7
Pseudochrobactrum sp. XF203
Streptomyces sp. WA6-1-16
Bacillus amyloliquefaciens
Bacillus subtilis
Muricauda aquimarina
Leeuwenhoekiella palythoae
Salegentibacter mishustinae
Bifidobacterium pseudolongum
Bifidobacterium animalis
Mycoplasmopsis synoviae
Acinetobacter pseudolwoffii
Providencia alcalifaciens
Citrobacter werkmanii
Acinetobacter baumannii
Enterococcus lactis
Salmonella sp. JXY0409-18
Arsenophonus endosymbiont of Apis mellifera
Deinococcus sp. TS-293
Staphylococcus xylosus
Salmonella sp. A39
Pasteurella multocida
Enterococcus faecium
Acidithiobacillus ferrooxidans
Pseudomonas sp. Marseille-Q3773
Pseudoclavibacter sp. Marseille-Q3772
Cardiobacterium sp. Marseille-Q4385
Cobetia amphilecti
Lysinibacillus capsici
Micrococcus luteus
Blautia sp. NBRC 113351
Nonomuraea gerenzanensis
Pseudomonas amygdali
Paenibacillus polymyxa
Salmonella sp. A7
Pectobacterium sp. LJ1
Flavonifractor plautii
Megasphaera massiliensis
Cutibacterium acnes
Megamonas funiformis
Ruminococcus gnavus
Anaerostipes caccae
Staphylococcus epidermidis
Pectobacterium aroidearum
Collinsella aerofaciens
Altererythrobacter sp. N1
Aeromonas veronii
Alysiella filiformis
Simonsiella muelleri
Bacillus velezensis
Comamonas thiooxydans
Acinetobacter johnsonii
Zymomonas mobilis
Tepidimonas taiwanensis
Curtobacterium sp. TXMA1
Pseudomonas sp. p1(2021b)
Salmonella sp. A29-2
Mycobacterium ulcerans
Bremerella volcania
Pediococcus acidilactici
Lactobacillus amylovorus
Bacillus sp. CRB-7
Bacteroidetes bacterium EPR1
Klebsiella variicola
Pantoea agglomerans
Campylobacter coli
Aeromonas rivuli
Enterobacter cloacae complex sp. ECL352
Cupriavidus metallidurans
Enterococcus mundtii
Clostridium perfringens
Stenotrophomonas maltophilia
Pseudomonas aeruginosa
Serratia sp. HRI
Escherichia fergusonii
Streptomyces mobaraensis
Acinetobacter variabilis
Burkholderia vietnamiensis
Citrobacter amalonaticus
Citrobacter europaeus
Clostridium sporogenes
Corynebacterium falsenii
Enterobacter bugandensis
Enterobacter ludwigii
Klebsiella quasipneumoniae
Corynebacterium coyleae
Corynebacterium freneyi
Gemella haemolysans
Gemella morbillorum
Leclercia adecarboxylata
Porphyromonas endodontalis
Proteus vulgaris
Streptococcus pneumoniae
Aeromonas enteropelogenes
Bacteroides fragilis
Erysipelatoclostridium ramosum
Clostridioides difficile
Enterobacter hormaechei
Micrococcus sp. KD337-16
Macrococcus sp. JEK37
Macrococcus sp. JEK46
Macrococcus sp. JEK29
Macrococcus sp. JEK12
Macrococcus sp. 17Msa1131
Macrococcus sp. 19Msa0295
Macrococcus sp. 19Msa0966
Leucobacter sp. Psy1
Campylobacter upsaliensis
Bacillus sp. PM8313
Kovacikia sp. CCNU0001
Bacteroides caccae
Bacteroides ovatus
Bacteroides faecis
Bacteroides stercoris
Phocaeicola vulgatus
Parabacteroides distasonis
Parabacteroides goldsteinii
Bacteroides cellulosilyticus
Bacteroides salyersiae
Parabacteroides merdae
Bacteroides thetaiotaomicron
Borreliella burgdorferi
Ralstonia pickettii
Breznakiella homolactica
Shewanella sp. YLB-08
Xanthomonas sp. WG16
Xanthomonas oryzae
